id,uniprot,gene,chrom,start,end
Q86V81,Q86V81,10189,,,
P11802,P11802,1019,,,
P62854,P62854,101929876,,,
Q9H4P4,Q9H4P4,10193,,,
O00418,O00418,101930123,,,
Q6ZSZ6,Q6ZSZ6,10194,,,
Q92685,Q92685,10195,,,
Q8WUV3,Q8WUV3,10196,,,
Q6MZZ1,Q6MZZ1,10197,,,
Q99550,Q99550,10198,,,
O00566,O00566,10199,,,
O14672,O14672,102,,,
Q00535,Q00535,1020,,,
Q99547,Q99547,10200,,,
O75414,O75414,10201,,,
Q13268,Q13268,10202,,,
Q16602,Q16602,10203,,,
O60858,O60858,10206,,,
Q8NI35,Q8NI35,10207,,,
Q6IAV3,Q6IAV3,10209,,,
Q00534,Q00534,1021,,,
Q9NS56,Q9NS56,10210,,,
Q5ST80,Q5ST80,10211,,,
O00148,O00148,10212,,,
O00487,O00487,10213,,,
Q13516,Q13516,10215,,,
Q9Y3D8,Q9Y3D8,102157402,,,
O15194,O15194,10217,,,
Q96E93,Q96E93,10219,,,
P50613,P50613,1022,,,
O95390,O95390,10220,,,
Q96RU8,Q96RU8,10221,,,
Q99795,Q99795,10223,,,
Q9Y2A4,Q9Y2A4,10224,,,
P40200,P40200,10225,,,
O43752,O43752,10228,,,
Q99807,Q99807,10229,,,
Q14206,Q14206,10231,,,
Q7LDG7,Q7LDG7,10235,,,
Q0VGD6,Q0VGD6,10236,,,
D3DTX1,D3DTX1,10237,,,
P61962,P61962,10238,,,
P59780,P59780,10239,,,
P49336,P49336,1024,,,
Q92665,Q92665,10240,,,
Q9Y691,Q9Y691,10242,,,
Q9NQX3,Q9NQX3,10243,,,
O60830,O60830,10245,,,
O00624,O00624,10246,,,
O75817,O75817,10248,,,
Q6IB77,Q6IB77,10249,,,
P50750,P50750,1025,,,
Q8IYB3,Q8IYB3,10250,,,
Q6ZUP3,Q6ZUP3,10251,,,
O43609,O43609,10252,,,
O43597,O43597,10253,,,
O75886,O75886,10254,,,
O15439,O15439,10257,,,
P38936,P38936,1026,,,
Q15427,Q15427,10262,,,
O60895,O60895,10266,,,
E9PC20,E9PC20,10267,,,
O60896,O60896,10268,,,
O75844,O75844,10269,,,
Q6I9V6,Q6I9V6,1027,,,
O43823,O43823,10270,,,
P35520,P35520,102724560,,,
Q01081,Q01081,102724594,,,
P02489,P02489,102724652,,,
Q9UNE7,Q9UNE7,10273,,,
Q8WVM7,Q8WVM7,10274,,,
O95155,O95155,10277,,,
Q9NQE7,Q9NQE7,10279,,,
P49918,P49918,1028,,,
Q5U045,Q5U045,102800317,,,
Q53XK0,Q53XK0,10282,,,
Q6UX04,Q6UX04,10283,,,
X6RAL5,X6RAL5,10284,,,
O75940,O75940,10285,,,
O75934,O75934,10286,,,
P49795,P49795,10287,,,
A2IXV5,A2IXV5,10288,,,
Q6FG85,Q6FG85,10289,,,
P42771,P42771,1029,,,
Q15772,Q15772,10290,,,
Q15459,Q15459,10291,,,
Q9BWF2,Q9BWF2,10293,,,
O60884,O60884,10294,,,
O14874,O14874,10295,,,
Q7L5Y9,Q7L5Y9,10296,,,
O95996,O95996,10297,,,
O96013,O96013,10298,,,
O60337,O60337,10299,,,
P55265,P55265,103,,,
P42772,P42772,1030,,,
Q9BVA0,Q9BVA0,10300,,,
O75971,O75971,10302,,,
Q14586,Q14586,10308,,,
P22674,P22674,10309,,,
Q6ICV4,Q6ICV4,1031,,,
Q13488,Q13488,10312,,,
Q9HB89,Q9HB89,10316,,,
Q9Y2C3,Q9Y2C3,10317,,,
Q9Y6N6,Q9Y6N6,10319,,,
P55273,P55273,1032,,,
R9R4D9,R9R4D9,10320,,,
O60662,O60662,10324,,,
Q5VZM2,Q5VZM2,10325,,,
O00241,O00241,10326,,,
V9HWI0,V9HWI0,10327,,,
Q16667,Q16667,1033,,,
Q9Y2A9,Q9Y2A9,10331,,,
H7BXU4,H7BXU4,10332,,,
Q9Y2C9,Q9Y2C9,10333,,,
Q9Y6F6,Q9Y6F6,10335,,,
Q3KNV8,Q3KNV8,10336,,,
Q92734,Q92734,10342,,,
Q9Y258,Q9Y258,10344,,,
Q8IYM9,Q8IYM9,10346,,,
Q8IZY2,Q8IZY2,10347,,,
Q8WWZ4,Q8WWZ4,10349,,,
Q8IUA7,Q8IUA7,10350,,,
O94911,O94911,10351,,,
Q9UGM6,Q9UGM6,10352,,,
Q16878,Q16878,1036,,,
O75607,O75607,10360,,,
Q86SE8,Q86SE8,10361,,,
Q9Y5W3,Q9Y5W3,10365,,,
O60359,O60359,10368,,,
Q9Y698,Q9Y698,10369,,,
Q14563,Q14563,10371,,,
P68363,P68363,10376,,,
Q00978,Q00978,10379,,,
O95861,O95861,10380,,,
Q13509,Q13509,10381,,,
P04350,P04350,10382,,,
P68371,P68371,10383,,,
O00478,O00478,10384,,,
Q8WVV5,Q8WVV5,10385,,,
Q9BX26,Q9BX26,10388,,,
Q9UQR0,Q9UQR0,10389,,,
Q9Y6K0,Q9Y6K0,10390,,,
Q9UQ03,Q9UQ03,10391,,,
O14950,O14950,103910,,,
Q9Y239,Q9Y239,10392,,,
Q9UM13,Q9UM13,10393,,,
Q9Y2Q0,Q9Y2Q0,10396,,,
Q92597,Q92597,10397,,,
P24844,P24844,10398,,,
P63244,P63244,10399,,,
P78563,P78563,104,,,
Q92903,Q92903,1040,,,
Q9UBM1,Q9UBM1,10400,,,
Q9Y6X2,Q9Y6X2,10401,,,
O14777,O14777,10403,,,
P80723,P80723,10409,,,
Q01628,Q01628,10410,,,
Q99777,Q99777,10411,,,
O95478,O95478,10412,,,
Q86T74,Q86T74,10413,,,
O14744,O14744,10419,,,
Q96S53,Q96S53,10420,,,
O95400,O95400,10421,,,
Q9BSL1,Q9BSL1,10422,,,
O14735,O14735,10423,,,
O15173,O15173,10424,,,
Q6IBL8,Q6IBL8,10425,,,
Q96CW5,Q96CW5,10426,,,
O95487,O95487,10427,,,
V9HWN9,V9HWN9,1043,,,
Q96PK6,Q96PK6,10432,,,
O75608,O75608,10434,,,
Q92979,Q92979,10436,,,
P13284,P13284,10437,,,
Q13901,Q13901,10438,,,
P47902,P47902,1044,,,
Q99595,Q99595,10440,,,
Q7Z7L7,Q7Z7L7,10444,,,
Q96EZ8,Q96EZ8,10445,,,
P42765,P42765,10449,,,
Q99626,Q99626,1045,,,
Q9UNP9,Q9UNP9,10450,,,
Q9UKW4,Q9UKW4,10451,,,
O96008,O96008,10452,,,
Q15750,Q15750,10454,,,
O75521,O75521,10455,,,
O00165,O00165,10456,,,
Q9UQB8,Q9UQB8,10458,,,
Q9UI95,Q9UI95,10459,,,
O14627,O14627,1046,,,
Q9Y6A5,Q9Y6A5,10460,,,
Q12866,Q12866,10461,,,
Q8IUN9,Q8IUN9,10462,,,
Q6PML9,Q6PML9,10463,,,
Q8WXW3,Q8WXW3,10464,,,
Q6FH36,Q6FH36,10465,,,
O43257,O43257,10467,,,
P19883,P19883,10468,,,
O43615,O43615,10469,,,
O14967,O14967,1047,,,
Q5STK2,Q5STK2,10471,,,
O00479,O00479,10473,,,
O75528,O75528,10474,,,
O00635,O00635,10475,,,
O75947,O75947,10476,,,
Q969T4,Q969T4,10477,,,
B4DU97,B4DU97,10478,,,
Q92581,Q92581,10479,,,
Q53G30,Q53G30,1048,,,
Q7L2H7,Q7L2H7,10480,,,
Q9UBU9,Q9UBU9,10482,,,
Q15437,Q15437,10483,,,
Q15436,Q15436,10484,,,
Q5JPJ8,Q5JPJ8,10486,,,
Q01518,Q01518,10487,,,
O43889,O43889,10488,,,
Q15345,Q15345,10489,,,
Q9UEU0,Q9UEU0,10490,,,
O75718,O75718,10491,,,
Q59GL1,Q59GL1,10492,,,
O00506,O00506,10494,,,
Q4LE73,Q4LE73,10497,,,
Q86X55,Q86X55,10498,,,
Q15596,Q15596,10499,,,
Q9NS39,Q9NS39,105,,,
P49715,P49715,1050,,,
Q9H3T2,Q9H3T2,10500,,,
Q9H3T3,Q9H3T3,10501,,,
O95754,O95754,10505,,,
Q92854,Q92854,10507,,,
J3KNP4,J3KNP4,10509,,,
P17676,P17676,1051,,,
Q99985,Q99985,10512,,,
Q9BQG0,Q9BQG0,10514,,,
Q9UBX5,Q9UBX5,10516,,,
Q5XX13,Q5XX13,10517,,,
Q99828,Q99828,10519,,,
P49716,P49716,1052,,,
Q13398,Q13398,10520,,,
Q59F66,Q59F66,10521,,,
Q8IWX8,Q8IWX8,10523,,,
Q92993,Q92993,10524,,,
Q9Y4L1,Q9Y4L1,10525,,,
O15397,O15397,10526,,,
O00567,O00567,10528,,,
Q15744,Q15744,1053,,,
Q5JRX3,Q5JRX3,10531,,,
O95352,O95352,10533,,,
O75792,O75792,10535,,,
O15205,O15205,10537,,,
Q16520,Q16520,10538,,,
P53567,P53567,1054,,,
Q13561,Q13561,10540,,,
Q92688,Q92688,10541,,,
O43504,O43504,10542,,,
Q9UNN8,Q9UNN8,10544,,,
O15321,O15321,10548,,,
V9HW63,V9HW63,10549,,,
Q9BUP3,Q9BUP3,10553,,,
Q99943,Q99943,10554,,,
O15120,O15120,10555,,,
P78346,P78346,10556,,,
P78345,P78345,10557,,,
Q6NUL7,Q6NUL7,10558,,,
P78382,P78382,10559,,,
X6R868,X6R868,1056,,,
O60779,O60779,10560,,,
Q53X90,Q53X90,10563,,,
Q9Y6D5,Q9Y6D5,10564,,,
Q9Y6D6,Q9Y6D6,10565,,,
O75969,O75969,10566,,,
O95436,O95436,10568,,,
O95391,O95391,10569,,,
Q13084,Q13084,10573,,,
Q99832,Q99832,10574,,,
P50991,P50991,10575,,,
P78371,P78371,10576,,,
P61916,P61916,10577,,,
B2RWP4,B2RWP4,10579,,,
P49450,P49450,1058,,,
Q9BX66,Q9BX66,10580,,,
Q01629,Q01629,10581,,,
Q9Y6Z7,Q9Y6Z7,10584,,,
Q9Y6A1,Q9Y6A1,10585,,,
Q9NNW7,Q9NNW7,10587,,,
P49914,P49914,10588,,,
P07199,P07199,1059,,,
Q6IPS5,Q6IPS5,10592,,,
Q6P2Q9,Q6P2Q9,10594,,,
Q76MJ5,Q76MJ5,10595,,,
Q9Y6L6,Q9Y6L6,10599,,,
Q03188,Q03188,1060,,,
Q9Y5T5,Q9Y5T5,10600,,,
O14492,O14492,10603,,,
Q9H074,Q9H074,10605,,,
P22234,P22234,10606,,,
Q12788,Q12788,10607,,,
Q14582,Q14582,10608,,,
Q9UJ37,Q9UJ37,10610,,,
O75382,O75382,10612,,,
O94992,O94992,10614,,,
Q9BYM8,Q9BYM8,10616,,,
O95630,O95630,10617,,,
Q02224,Q02224,1062,,,
Q9H1D9,Q9H1D9,10621,,,
O15318,O15318,10622,,,
Q9BUI4,Q9BUI4,10623,,,
Q9Y6Y0,Q9Y6Y0,10625,,,
O95361,O95361,10626,,,
P19105,P19105,10627,,,
Q9Y6J9,Q9Y6J9,10629,,,
P49454,P49454,1063,,,
Q86YL7,Q86YL7,10630,,,
O75964,O75964,10632,,,
Q92737,Q92737,10633,,,
O43566,O43566,10636,,,
O75610,O75610,10637,,,
Q9NZI8,Q9NZI8,10642,,,
O00425,O00425,10643,,,
Q9Y6M1,Q9Y6M1,10644,,,
Q96RR4,Q96RR4,10645,,,
O75431,O75431,10651,,,
O15498,O15498,10652,,,
Q6FGV9,Q6FGV9,10654,,,
Q9Y5R5,Q9Y5R5,10655,,,
O75525,O75525,10656,,,
Q07666,Q07666,10657,,,
Q92879,Q92879,10658,,,
O95319,O95319,10659,,,
P23141,P23141,1066,,,
P52954,P52954,10660,,,
Q13351,Q13351,10661,,,
O00574,O00574,10663,,,
Q15762,Q15762,10666,,,
O95363,O95363,10667,,,
Q7L523,Q7L523,10670,,,
O00399,O00399,10671,,,
Q14344,Q14344,10672,,,
Q9Y275,Q9Y275,10673,,,
B7Z2E0,B7Z2E0,10675,,,
O75366,O75366,10677,,,
Q9NY97,Q9NY97,10678,,,
Q12798,Q12798,1068,,,
O14775,O14775,10681,,,
Q15125,Q15125,10682,,,
Q9NYJ7,Q9NYJ7,10683,,,
Q9Y5I7,Q9Y5I7,10686,,,
P41208,P41208,1069,,,
Q9Y231,Q9Y231,10690,,,
O14718,O14718,10692,,,
Q92526,Q92526,10693,,,
P50990,P50990,10694,,,
Q9Y5Q5,Q9Y5Q5,10699,,,
C9J1J0,C9J1J0,107,,,
E5RJF8,E5RJF8,1070,,,
P11597,P11597,1071,,,
Q53GS9,Q53GS9,10713,,,
Q15054,Q15054,10714,,,
Q5XG75,Q5XG75,10715,,,
Q16650,Q16650,10716,,,
Q9Y6B7,Q9Y6B7,10717,,,
P56975,P56975,10718,,,
V9HWI5,V9HWI5,1072,,,
O75310,O75310,10720,,,
Q59EE4,Q59EE4,10721,,,
Q9Y666,Q9Y666,10723,,,
O60502,O60502,10724,,,
O94916,O94916,10725,,,
Q15185,Q15185,10728,,,
Q9Y281,Q9Y281,1073,,,
Q96TA2,Q96TA2,10730,,,
Q86TP4,Q86TP4,10732,,,
O00444,O00444,10733,,,
Q9UJ98,Q9UJ98,10734,,,
Q8N3U4,Q8N3U4,10735,,,
Q9NPC8,Q9NPC8,10736,,,
O75884,O75884,10741,,,
Q9NZH5,Q9NZH5,10744,,,
Q9Y2U5,Q9Y2U5,10746,,,
O00187,O00187,10747,,,
O43896,O43896,10749,,,
P53634,P53634,1075,,,
O00533,O00533,10752,,,
Q6PIV8,Q6PIV8,10753,,,
Q9UKX7,Q9UKX7,10762,,,
Q9H6U9,Q9H6U9,10763,,,
Q9UGL1,Q9UGL1,10765,,,
Q14106,Q14106,10766,,,
Q9Y450,Q9Y450,10767,,,
O43865,O43865,10768,,,
Q9NYY3,Q9NYY3,10769,,,
O75494,O75494,10772,,,
Q15916,Q15916,10773,,,
O95707,O95707,10775,,,
Q14588,Q14588,10780,,,
Q96GC6,Q96GC6,10782,,,
Q9HC98,Q9HC98,10783,,,
P57081,P57081,10785,,,
O00476,O00476,10786,,,
Q9Y2A7,Q9Y2A7,10787,,,
Q59HA3,Q59HA3,10788,,,
Q6FG93,Q6FG93,10791,,,
Q14593,Q14593,10793,,,
Q14592,Q14592,10794,,,
Q2TB61,Q2TB61,10795,,,
P13995,P13995,10797,,,
Q13606,Q13606,10798,,,
O75818,O75818,10799,,,
Q71UM8,Q71UM8,108,,,
P13569,P13569,1080,,,
Q9Y271,Q9Y271,10800,,,
Q9UHD8,Q9UHD8,10801,,,
O95486,O95486,10802,,,
P51686,P51686,10803,,,
O95452,O95452,10804,,,
Q86SQ7,Q86SQ7,10806,,,
Q92598,Q92598,10808,,,
Q6I9S8,Q6I9S8,1081,,,
Q9UPY6,Q9UPY6,10810,,,
Q9BVJ6,Q9BVJ6,10813,,,
Q6PUV4,Q6PUV4,10814,,,
O14810,O14810,10815,,,
Q8WU20,Q8WU20,10818,,,
P01233,P01233,1082,,,
Q9UQ49,Q9UQ49,10825,,,
Q96IV6,Q96IV6,10826,,,
A6NFS0,A6NFS0,10838,,,
P40198,P40198,1084,,,
Q53H87,Q53H87,10840,,,
O95954,O95954,10841,,,
O96001,O96001,10842,,,
Q9BSJ2,Q9BSJ2,10844,,,
O76031,O76031,10845,,,
Q9Y233,Q9Y233,10846,,,
Q6ZRS2,Q6ZRS2,10847,,,
Q9Y4X3,Q9Y4X3,10850,,,
Q9Y251,Q9Y251,10855,,,
Q9Y230,Q9Y230,10856,,,
O00264,O00264,10857,,,
Q9Y6A2,Q9Y6A2,10858,,,
Q8NHL6,Q8NHL6,10859,,,
Q9H2B4,Q9H2B4,10861,,,
Q9UKQ2,Q9UKQ2,10863,,,
Q9Y694,Q9Y694,10864,,,
O75954,O75954,10867,,,
Q9Y2K6,Q9Y2K6,10868,,,
O94966,O94966,10869,,,
Q14002,Q14002,1087,,,
Q9UBK5,Q9UBK5,10870,,,
Q08708,Q08708,10871,,,
Q6TCH8,Q6TCH8,10873,,,
P48645,P48645,10874,,,
Q0Z7S6,Q0Z7S6,1088,,,
Q9NP92,Q9NP92,10884,,,
Q9UNX4,Q9UNX4,10885,,,
Q9Y5X5,Q9Y5X5,10886,,,
Q8TCW9,Q8TCW9,10887,,,
Q9NYM4,Q9NYM4,10888,,,
O75871,O75871,1089,,,
P61026,P61026,10890,,,
Q9UBK2,Q9UBK2,10891,,,
Q9UDY8,Q9UDY8,10892,,,
Q9Y5R2,Q9Y5R2,10893,,,
Q9Y5Y7,Q9Y5Y7,10894,,,
O95639,O95639,10898,,,
O60266,O60266,109,,,
Q9BTZ2,Q9BTZ2,10901,,,
Q9H0E9,Q9H0E9,10902,,,
A4FU01,A4FU01,10903,,,
O60476,O60476,10905,,,
P83876,P83876,10907,,,
Q8IY17,Q8IY17,10908,,,
Q9Y2Z0,Q9Y2Z0,10910,,,
O95399,O95399,10911,,,
O95257,O95257,10912,,,
Q9UNE0,Q9UNE0,10913,,,
P51003,P51003,10914,,,
O14776,O14776,10915,,,
Q6UXE8,Q6UXE8,10917,,,
Q96KQ7,Q96KQ7,10919,,,
Q99627,Q99627,10920,,,
Q15287,Q15287,10921,,,
Q14296,Q14296,10922,,,
Q92484,Q92484,10924,,,
Q9UBU7,Q9UBU7,10926,,,
Q15311,Q15311,10928,,,
Q9BRL6,Q9BRL6,10929,,,
Q9Y235,Q9Y235,10930,,,
Q9UBU8,Q9UBU8,10933,,,
P30048,P30048,10935,,,
O95800,O95800,10936,,,
Q9H4M9,Q9H4M9,10938,,,
Q9Y4W6,Q9Y4W6,10939,,,
Q99575,Q99575,10940,,,
Q9Y4X1,Q9Y4X1,10941,,,
Q9Y6M0,Q9Y6M0,10942,,,
Q8N5Y2,Q8N5Y2,10943,,,
P24390,P24390,10945,,,
Q12874,Q12874,10946,,,
P53677,P53677,10947,,,
Q13151,Q13151,10949,,,
Q6IAU3,Q6IAU3,10950,,,
Q6IBN6,Q6IBN6,10951,,,
P60468,P60468,10952,,,
Q15785,Q15785,10953,,,
Q14554,Q14554,10954,,,
Q13438,Q13438,10956,,,
Q12796,Q12796,10957,,,
Q12907,Q12907,10960,,,
P30040,P30040,10961,,,
P31948,P31948,10963,,,
P49753,P49753,10965,,,
Q12829,Q12829,10966,,,
Q99848,Q99848,10969,,,
Q07065,Q07065,10970,,,
P27348,P27348,10971,,,
Q8N3C0,Q8N3C0,10973,,,
O14957,O14957,10975,,,
Q92989,Q92989,10978,,,
Q96AC1,Q96AC1,10979,,,
Q7L5N1,Q7L5N1,10980,,,
Q13637,Q13637,10981,,,
Q15555,Q15555,10982,,,
Q92905,Q92905,10987,,,
P50579,P50579,10988,,,
Q16891,Q16891,10989,,,
O75023,O75023,10990,,,
Q99624,Q99624,10991,,,
Q13435,Q13435,10992,,,
Q8WW81,Q8WW81,10993,,,
A1L0T0,A1L0T0,10994,,,
Q9Y2P5,Q9Y2P5,10998,,,
Q6P1M0,Q6P1M0,10999,,,
Q5K4L6,Q5K4L6,11000,,,
O14975,O14975,11001,,,
Q99661,Q99661,11004,,,
Q8NHJ6,Q8NHJ6,11006,,,
Q15834,Q15834,11007,,,
Q13007,Q13007,11009,,,
O15335,O15335,1101,,,
Q86UE8,Q86UE8,11011,,,
Q9UBX7,Q9UBX7,11012,,,
P33947,P33947,11014,,,
O43731,O43731,11015,,,
P17544,P17544,11016,,,
Q8WVK2,Q8WVK2,11017,,,
O43766,O43766,11019,,,
O95199,O95199,1102,,,
Q9BW83,Q9BW83,11020,,,
Q15286,Q15286,11021,,,
Q9Y2W6,Q9Y2W6,11022,,,
Q5SQQ9,Q5SQQ9,11023,,,
O75019,O75019,11024,,,
Q8N6C8,Q8N6C8,11026,,,
P28329,P28329,1103,,,
Q13636,Q13636,11031,,,
P60981,P60981,11034,,,
Q9Y572,Q9Y572,11035,,,
Q9UNN4,Q9UNN4,11036,,,
P18754,P18754,1104,,,
Q9P1W9,Q9P1W9,11040,,,
O43505,O43505,11041,,,
Q9UJV3,Q9UJV3,11043,,,
Q5XG87,Q5XG87,11044,,,
O00322,O00322,11045,,,
Q76EJ3,Q76EJ3,11046,,,
O14646,O14646,1105,,,
O43809,O43809,11051,,,
Q16630,Q16630,11052,,,
Q9Y2R4,Q9Y2R4,11056,,,
P08910,P08910,11057,,,
Q9H0M0,Q9H0M0,11059,,,
O14647,O14647,1106,,,
O00308,O00308,11060,,,
O95620,O95620,11062,,,
O94993,O94993,11063,,,
Q7Z7A1,Q7Z7A1,11064,,,
O00762,O00762,11065,,,
